C0,C1,r,delta,theta,thetaG,alpha_0,beta_0,alpha_1,beta_1,U_G,U_D,Gstrategy,Dstrategy,backfiring_flag
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.7000000000000002,0.05,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.75,0.05,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.8,0.05,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.85,0.05,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.9000000000000001,0.05,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,1.9500000000000002,0.05,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,2.0,0.05,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,2.0500000000000003,0.05,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,2.1,0.05,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
"[[1.   1.25]
 [1.25 1.  ]]","[[1.   1.25]
 [1.25 1.  ]]",[1 1],0.5,2.15,0.05,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,abstain,abstain,1
